iso,places,counts,latlongs
MKD,['Üsküp'],[2],['(41.9960924|21.4316495)']
MLI,['Bamako'],[1],['(12.649319|-8.000337)']
MLT,"['Valletta', 'Valletta']","[1, 3]","['(35.898908|14.514553)', '(35.8989818|14.5136759)']"
MMR,['Rangoon|Burma. [now Yangôn'],[3],['(16.7967129|96.1609916)']
MNG,['Ulan Bator'],[1],['(47.9184676|106.9177016)']
MRT,['Nouakchott'],[4],['(18.0792379|-15.9780071)']
MUS,['Port Louis'],[1],['(-20.1624522|57.5028044)']
MWI,['Zomba'],[1],['(-15.3863208|35.3268273)']
MYS,"['Betong', 'Pontian|Johor', 'Johor Bahru|Johor', 'Kuching|Sarawak', 'Muar|Johor', 'Melaka', 'Port Dickson|Negeri Sembilan', 'Seri Menanti|Negeri Sembilan', 'Seremban|Negeri Sembilan', 'Negeri Sembilan|Negeri Sembilan', 'Subang Jaya|Selangor', 'Shah Alam|Selangor', 'Petaling Jaya', 'Kuala Lumpur|Federal Territory of Kuala Lumpur', 'Kuala Lumpur', 'Setapak|Kuala Lumpur', 'Gombak|Selangor', 'Rawang|Selangor', 'Selangor', 'Pekan|Pahang', 'Pahang', 'Ipoh|Perak', 'Taiping|Perak', 'Terengganu', 'Penang', 'Sungai Petani|Kedah', 'Perak', 'Pulau Pinang', 'Sandakan|North Borneo', 'Kota Kinbalu|Sabah', 'Pasir Mas|Kelantan', 'Alor Setar|Kedah', 'Kota Bharu|Kelantan', 'Langkawi|Kedah', 'Perlis']","[2, 1, 10, 6, 5, 9, 1, 1, 1, 1, 1, 1, 3, 2, 38, 1, 1, 2, 1, 2, 2, 20, 2, 1, 3, 1, 2, 3, 1, 3, 1, 4, 1, 2, 5]","['(1.4115918|111.5280962)', '(1.4875086|103.387864)', '(1.503555|103.7495586)', '(1.5574127|110.3439862)', '(2.0425046|102.5658852)', '(2.1942647|102.2486651)', '(2.5228943|101.7945134)', '(2.6981369|102.1614016)', '(2.7247562|101.9344913)', '(2.7297|101.9381)', '(3.051487|101.5823339)', '(3.0733644|101.5195149)', '(3.0991752|101.6450232)', '(3.139003|101.686852)', '(3.1516964|101.6942371)', '(3.1975774|101.7139655)', '(3.2330444|101.7145742)', '(3.3197692|101.5773144)', '(3.340688|101.2495699)', '(3.4900731|103.3936995)', '(3.530994|103.4621214)', '(4.5986817|101.0900236)', '(4.8546772|100.7438831)', '(5.3296461|103.1383265)', '(5.36995745|100.25283402110406)', '(5.6435195|100.4869513)', '(5.68352905|98.93894529167952)', '(5.739852150000001|103.00266765867892)', '(5.8391274|118.1158598)', '(5.980408|116.073457)', '(6.0416128|102.1429248)', '(6.1231908|100.3683962)', '(6.12584|102.2399785)', '(6.3682606|99.79298506942365)', '(6.4032926|100.1345543)']"
NGA,"['Kaduna', 'Zaria', 'Kano|Kano State', 'Port Harcourt', 'Owerri', 'Ngor Okpala|Imo', 'Warri', 'Ikwuano Umuahia|Abia', 'Eku|Delta State', 'Udi|Enugu', 'Benin City', 'Benin City|Edo', 'Lagos', 'Oshodi|Lagos', 'Ajegunle', 'Ondo', 'Ondo State|Ondo State', 'Ibadan', 'Ogidi', 'Ekiti', 'Makurdi', 'Abuja', 'Barkin Ladi|Plateau', 'Kafanchan', 'Jos|Plateau State']","[5, 2, 1, 1, 1, 2, 6, 2, 3, 4, 1, 10, 52, 2, 1, 5, 2, 5, 1, 1, 1, 10, 3, 1, 2]","['(10.5182899|7.4359863)', '(11.1134917|7.7188449)', '(11.9918671|8.5303654)', '(4.7676576|7.0188527)', '(5.489736|7.0341973)', '(5.491489|7.151272)', '(5.5079213|5.7571201)', '(5.561256|7.38876)', '(5.7444511|5.9891398)', '(6.3227337|7.397846)', '(6.3330586|5.6221058)', '(6.3358|5.6037)', '(6.4550575|3.3941795)', '(6.5581735|3.3466245)', '(6.9639792|3.3322628)', '(7.1|4.833333)', '(7.2504|5.2105)', '(7.3777462|3.8972497)', '(7.533333|4.066667)', '(7.6232482|5.22274)', '(7.7312634|8.538425)', '(9.0643305|7.4892974)', '(9.359552|8.367586)', '(9.58519|8.2926136)', '(9.9175125|8.8979401)']"
NIC,['Managua'],[2],['(12.1544035|-86.2737642)']
NLD,"['Bocholtz', 'Maastricht|Limburg', 'Heerlen|Limburg', 'Maarheeze|Noord-Brabant', 'Tegelen|Limburg', 'Venlo|Limburg', 'Eindhoven|Noord-Brabant', 'Mierlo|Noord-Brabant', 'Nispen', 'Tilburg|Noord-Brabant', 'Breda|Noord-Brabant', 'Stevensbeek', ""'s-Hertogenbosch|North Brabant"", 'Westmaas|Zuid-Holland', 'Gorinchem|Zuid-Holland', 'Nijmegen|Gelderland', 'Lekkerkerk', 'Rozenburg', 'Vlaardingen|South Holland', 'Rotterdam|Zuid-Holland', 'Oosterbeek', 'Delft|Zuid-Holland', 'Amerongen', 'Gouda|South Holland', 'Nieuwegein|Utrecht', 'Doorn|Utrecht', 'Zoetermeer|South Holland', 'The Hague|Zuid-Holland', 'Utrecht|Utrecht', 'Zeist', 'Leiderdorp|Zuid-Holland', 'Leiden|Zuid-Holland', 'Breukelen|Utrecht', 'Oegstgeest|Zuid-Holland', 'Wilnis|Utrecht', 'Baarn|Utrecht', 'Enschede|Overijssel', 'Hilversum|Noord-Holland', 'Laren|Noord-Holland', 'Hengelo|Overijssel', 'Naarden|Noord-Holland', 'Amstelveen|Noord-Holland', 'Muiden|NoordHolland', 'Zuid|Holland', 'Amsterdam|North Holland', 'Amsterdam|Noord-Holland', 'Haarlem|Noord-Holland', 'Noord|Holland', 'Beverwijk', 'Purmerend', 'Zwolle|Overijssel', 'Heiloo|North-Holland', 'Hoorn|Noord-Holland', 'Bergen|North Holland', 'Tuitjenhorn|Noord-Holland', 'Lemmer', 'Appelscha|Friesland', 'Assen|Drenthe', 'Winschoten|Groningen']","[2, 4, 2, 1, 2, 3, 2, 2, 1, 6, 2, 1, 2, 1, 2, 1, 1, 1, 2, 16, 1, 2, 1, 1, 3, 1, 1, 14, 7, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 12, 1, 1, 1, 37, 5, 2, 1, 2, 3, 2, 2, 1, 1, 1, 1, 1, 1]","['(50.8184796|6.0065275)', '(50.8512438|5.6909768)', '(50.8876735|5.9773285)', '(51.3121159|5.6158604)', '(51.3429314|6.1362198)', '(51.39244885|6.1511724144122955)', '(51.4392648|5.478633)', '(51.4437624|5.6187496)', '(51.4823484|4.4616139)', '(51.585618749999995|5.066061908648313)', '(51.5887845|4.7760237)', '(51.6040629|5.915441)', '(51.6889387|5.303116)', '(51.7877888|4.4737754)', '(51.8421872|4.974600467260094)', '(51.842574850000005|5.838960628748229)', '(51.8969383|4.6832832)', '(51.9056445|4.2415465)', '(51.9227863|4.329563378870851)', '(51.9244424|4.47775)', '(51.9884489|5.8420484)', '(51.999457199999995|4.362724538543995)', '(52.000487|5.4600535)', '(52.018119350000006|4.711122134697802)', '(52.0298704|5.0929333789192395)', '(52.0333163|5.3455956)', '(52.06228915|4.487754536970652)', '(52.0799838|4.3113461)', '(52.080985600000005|5.12768396945229)', '(52.086531750000006|5.249007957671885)', '(52.15705765|4.543378647059756)', '(52.1594747|4.4908843)', '(52.171959|5.002675)', '(52.1833669|4.472129402976295)', '(52.195378|4.899067)', '(52.2002549|5.269143393313942)', '(52.2209855|6.8940537)', '(52.2241375|5.1719396)', '(52.24253135|5.216244030438073)', '(52.2658726|6.7924049)', '(52.2957628|5.1633636)', '(52.3025582|4.8467875)', '(52.3301851|5.0692658)', '(52.3373435|4.8948052)', '(52.367021|4.903145)', '(52.3727598|4.8936041)', '(52.383705750000004|4.643559696559635)', '(52.402572|4.935327)', '(52.4876371|4.6603502)', '(52.4997208|4.964420036889974)', '(52.5089759|6.0943765)', '(52.60192475|4.70503175175436)', '(52.622545450000004|5.067726588147824)', '(52.6702278|4.7011616)', '(52.736493|4.7491702)', '(52.8444859|5.7099136)', '(52.9524178|6.3441136)', '(52.9952273|6.560498)', '(53.1429957|7.0381231)']"
NOR,"['Utøy|Inderøy', 'Mandal', 'Farsund', 'Stavanger', 'Sandnes', 'Vestli|Oslo', 'Tau', 'Fredrikstad', 'Tønsberg', 'Asker', 'Solbergelva|Nedre Eiker', 'Stord', 'Lørenskog', 'Oslo', 'Fetsund', 'Bærum', 'Kjelsås|Oslo', 'Rosendal', 'Bergen|Hordaland', 'Hamar', 'Lillehammer', 'Kristiansund', 'Malvik', 'Mosjøen', 'Saltdal|Nordland', 'Svolvær', 'Bø', 'Alta', 'Hammerfest']","[1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 1, 64, 2, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]","['(57.9849026|7.5783583247039354)', '(58.0268181|7.4534802)', '(58.038737299999994|6.584827355243855)', '(58.9699509|5.7318061)', '(58.983132049999995|6.394641047340787)', '(59.0456611|11.4231722)', '(59.0647739|5.9225031)', '(59.2133614|10.9361604)', '(59.3549795|10.282049110877239)', '(59.68126025|10.47483598845985)', '(59.7634354|10.0785822)', '(59.82502055|5.488370639966453)', '(59.8970034|10.966914823844895)', '(59.9133301|10.7389701)', '(59.9274398|11.1620196)', '(59.9289639|10.499710818578329)', '(59.9633464|10.7822945)', '(59.9863176|6.0116458)', '(60.3943055|5.3259192)', '(61.0014937|11.16479641006573)', '(61.1145451|10.4670073)', '(63.216819400000006|7.545258996501891)', '(63.39518835|10.737869534777623)', '(65.8375342|13.1892098)', '(66.88095415000001|15.492671203380478)', '(68.2321709|14.5646019)', '(68.7408364|14.282668557940369)', '(70.04962755|23.08254009804839)', '(70.6413392|23.8360800591327)']"
NPL,"['Kathmandu', 'Bhedihari|Bhedihari', 'District de Dang', 'Myagdi', 'Darchula|Sudurpashchim Pradesh']","[15, 2, 1, 1, 1]","['(27.708317|85.3205817)', '(27.8225|84.9054)', '(27.897977|82.315282)', '(28.5682607|83.6397406)', '(29.85976|80.556682)']"
NZL,"['Whangarei|North Island', 'Ruawai|Northland', 'Waiheke Island', 'Baston Point|Auckland', 'Auckland|North Island', 'Mount Albert|Auckland', 'South Auckland', 'Tauranga', 'Rotorua|North Island', 'New Plymouth|Taranaki', 'Napier', 'Hastings', 'Wanganui', 'Levin|Manawatu-Wanganui', 'Paraparaumu', 'Masterton', 'Wellington', 'Christchurch|Canterbury', 'Ashburton', 'Balclutha', 'Invercargill']","[1, 1, 3, 1, 39, 2, 2, 2, 4, 7, 1, 3, 1, 1, 4, 2, 68, 6, 1, 1, 2]","['(-35.7275268|174.3194202)', '(-36.1368675|174.0252849)', '(-36.79310825|175.08838633700123)', '(-36.801333|174.802788)', '(-36.852095|174.7631803)', '(-36.8859912|174.7160423)', '(-37.001381|174.783431)', '(-37.6859006|176.167505)', '(-38.1381493|176.252922)', '(-39.0579941|174.0806474)', '(-39.4902099|176.917839)', '(-39.6417678|176.8430781)', '(-39.9324904|175.0519306)', '(-40.6218161|175.2865854)', '(-40.9144636|175.0061963)', '(-40.9495524|175.6594413)', '(-41.2887953|174.7772114)', '(-43.530955|172.6366455)', '(-43.9024396|171.7503327)', '(-46.24078|169.736157)', '(-46.4118465|168.3470632)']"
OMN,['Muscat'],[7],['(23.61515|58.5912467)']
PAK,"['Karachi|Sindh', 'Karachi|British India', 'Hyderabad|Sindh', 'Quetta', 'Lahore|Punjab', 'Lahore|Punjab', 'Gujranwala|Punjab', 'Hadali|Khushab', 'Rawalpindi', 'Islamabad', 'Hasan Abdal|Punjab', 'Peshawar|North-West Frontier Province', 'Havelian|Khyber Pakhtunkhwa']","[22, 3, 1, 4, 3, 7, 1, 4, 1, 3, 9, 1, 1]","['(24.8546842|67.0207055)', '(24.861462|67.009939)', '(25.3801017|68.3750376)', '(30.1957677|67.0172447)', '(31.5497|74.3436)', '(31.5656822|74.3141829)', '(32.1525312|74.1933745)', '(32.292645|72.1933815)', '(33.5914237|73.0535122)', '(33.6938118|73.0651511)', '(33.809285|72.687342)', '(34.015137|71.52491)', '(34.0519127|73.153453)']"
PAN,['Panama City'],[8],['(8.9714493|-79.5341802)']
PER,"['Lima', 'Huanta|Ayacucho', 'Pisco', 'Puno']","[31, 1, 1, 2]","['(-12.0621065|-77.0365256)', '(-12.9398882|-74.2479531)', '(-13.7099813|-76.2029793)', '(-15.8405962|-70.0279512)']"
PHL,"['Cebu City|Cebu', 'Bacolod City', 'Iloilo City', 'Sagay|Negros Occidental', 'Tacloban|Leyte', 'Samar', 'Masbate City|Masbate', 'Concepcion|Tarlac', 'Calapan City|Oriental Mindoro', 'Naga City|Camarines Sur', 'Canaman|Camarines Sur', 'Candelaria|Quezon', 'San Pablo City|Laguna', 'Daet|Camarines Norte', 'Laguna Province|Laguna', 'Silang|Cavite', 'Santa Cruz|Laguna', 'Santa Rosa|Laguna', 'San Pedro|Laguna', 'Bacoor|Cavite', 'Parañaque City|Metro Manila', 'Las Piñas City|Metro Manila', 'Cavite City|Cavite', 'Pasay|Metro Manila', 'Makati City', 'Pasig', 'Pasig City|Metro Manila', 'Taytay|Rizal', 'Mandaluyong City', 'Cainta|Rizal', 'Antipolo|Rizal', 'Manila|Metro Manila', 'Tondo|Manila', 'Marikina City|Metro Manila', 'Marikina|Metro Manila', 'Quezon City|Metro Manila', 'Quezon|Luzon', 'Caloocan City|Metro Manila', 'Malabon|Rizal', 'Metro Manila|Luzon', 'Subic Bay Naval Base|Olongapo City', 'San Fernando City', 'Angeles City|Pampanga', 'Clark Air Base|Angeles City', 'Cabanatuan City|Nueva Ecija', 'Tarlac City', 'Rosario|Batangas', 'Aringay|La Union', 'Baguio City|Benguet', 'Cervantes', 'Bulacan', 'Zambales|Olongopo', 'Davao City|Mindanao', 'Pampanga', 'Tagum|Davao del Norte', 'Iligan City|Lanao del Norte', 'Cagayan de Oro', 'Mambajao|Camiguin', 'Dumaguete City']","[14, 2, 2, 3, 2, 2, 1, 1, 2, 3, 1, 1, 1, 11, 4, 1, 3, 1, 2, 2, 10, 1, 2, 1, 8, 2, 4, 7, 2, 10, 1, 142, 13, 3, 5, 52, 1, 8, 2, 6, 1, 1, 8, 2, 13, 2, 2, 2, 5, 1, 1, 2, 2, 3, 3, 4, 2, 3, 4]","['(10.2931062|123.9020773)', '(10.678029|122.954132)', '(10.7026718|122.5686136)', '(10.8960681|123.4154617)', '(11.2436208|125.0079543)', '(11.798221850000001|125.16904177391692)', '(12.3710899|123.6239223)', '(12.9146531|121.7201189)', '(13.4145513|121.179543)', '(13.6240122|123.1850318)', '(13.6475888|123.1705562)', '(13.9289015|121.4246794)', '(14.0700502|121.3255974)', '(14.112333|122.9556967)', '(14.1769|121.267)', '(14.223624|120.9741497)', '(14.2818099|121.414977)', '(14.3146042|121.1137466)', '(14.3639435|121.056771)', '(14.458816|120.959579)', '(14.479309|121.019823)', '(14.480421|120.983566)', '(14.4833969|120.9088359)', '(14.537752|121.001379)', '(14.5567949|121.0211226)', '(14.5605166|121.0764343)', '(14.5659|121.0851)', '(14.5706996|121.13202)', '(14.5776485|121.0337001)', '(14.5780161|121.1163072)', '(14.5870262|121.1758611)', '(14.5948914|120.9782618)', '(14.6189095|120.9660386)', '(14.65073|121.102855)', '(14.650734|121.102855)', '(14.6509905|121.0486155)', '(14.6510546|121.0486254)', '(14.6513225|120.9722957)', '(14.6578504|120.9511261)', '(14.7579882|121.1315967)', '(14.793018|120.272738)', '(15.0283014|120.6938038)', '(15.144985|120.588703)', '(15.3453785|120.5287671)', '(15.48072|120.96182)', '(15.485997|120.589556)', '(16.2299397|120.487704)', '(16.3946672|120.354351)', '(16.4119945|120.5933729)', '(16.989946|120.7354563)', '(6.5679824|125.4153514)', '(7.0394755|122.0294403)', '(7.0648306|125.6080623)', '(7.1190572|125.6486787)', '(7.4470234|125.8111811)', '(8.228022|124.245242)', '(8.4756417|124.6421532)', '(9.2493122|124.716595)', '(9.3054777|123.3080446)']"
POL,"['Krynica-Zdrój', 'Nowy Targ|Małopolskie', 'Nowy Sącz', 'Żywiec', 'Limanowa|Małopolskie', 'Cieszyn|Slaskie', 'Straconka', 'Bielsko-Biala|Slaskie', 'Wadowice|Malopolskie', 'Pszczyna', 'Oświęcim', 'Dębica', 'Przeworsk|Podkarpackie', 'None|Malopolskie', 'Kraków|Malopolskie', 'Rybnik|Slaskie', 'Tychy|Śląskie', 'Chrzanów', 'Mikołów', 'Katowice|śląskie', 'Lezajsk|Podkarpackie', 'Sosnowiec|śląskie', 'Mielec|Podkarpackie', 'Chorzów', 'Gliwice|Slaskie', 'Zabrze|Slaskie', 'Będzin', 'Bytom|Śląskie', 'Duszniki-Zdrój', 'Pyskowice', 'Świerklaniec|Tarnowskie Góry', 'Kłodzko', 'Tarnowskie Góry|Silesian Voivodeship', 'Nysa|Województwo opolskie', 'Strzelce Opolskie', 'Stalowa Wola|Podkarpackie', 'Kalety|śląskie', 'Nowa Ruda', 'Lubliniec|śląskie', 'Opole', 'Ozimek|Opolskie', 'Walbrzych|Dolnoslaskie', 'Wiśnicz|małopolskie', 'Częstochowa|śląskie', 'Świdnica', 'Kielce|Swietokrzyskie', 'Brzeg', 'Kokawa', 'Ostrowiec Swietokrzyski|Swietokrzyskie', 'Gryfów Śląski|Dolnośląskie', 'Starachowice', 'Radomsko|Lódzkie', 'Wroclaw|Dolnoslaskie', 'Gołkowice', 'Legnica|Dolnoslaskie', 'Lublin|lubelskie', 'Bolesławiec', 'Brzeg Dolny|Dolnoslaskie', 'Trzebnica', 'Radom|Masovian Voivodeship', 'Piotrków Trybunalski', 'Tomaszów Mazowiecki|Łódzkie', 'Zduńska Wola', 'Żarów|Dolnośląskie', 'Krzywoszyce|Wielkopolskie', 'Kalisz|Wielkopolskie', 'Łódź|Lódzkie', 'Nowa Sól', 'Gostyń', 'Zielona Góra', 'Biała Podlaska', 'Milanówek', 'Konin|Wielkopolskie', 'Warsaw|Mazowieckie', 'Poznań', 'Nowy Dwór Mazowiecki', 'Pniewy|Wielkopolskie', 'Płock|Mazowieckie', 'Szamotuły', 'Hajnówka', 'Dubno k. Bielska Podlaskiego', 'Bielsk Podlaski', 'Inowrocław|kujawsko-pomorskie', 'Wągrowiec|Wielkopolskie', 'Drezdenko', 'Toruń|kujawsko-pomorskie', 'Bydgoszcz', 'Białystok', 'Nakło nad Notecią|kujawsko-pomorskie', 'Łomża|Podlaskie', 'Stargard Szczeciński|Zachodniopomorskie', 'Rudki', 'Świecie|kujawsko-pomorskie', 'Szczecin|Zachodniopomorskie', 'Złocieniec|zachodnio-pomorskie', 'Czaplinek', 'Szczytno|Warminsko-Mazurskie', 'Iława|Warmian-Masurian Voivodeship', 'Człuchów', 'Szczecinek', 'Olsztyn|Warminsko-Mazurskie', 'Mikołajki', 'Mrągowo', 'Swinoujscie|Zachodniopomorskie', 'Gryfice|zachodniopomorskie', 'Kamień Pomorski', 'Starogard Gdański|Pomorskie', 'Giżycko', 'Suwałki', 'Elbląg|Warmian-Masurian Voivodeship', 'Bytów|Pomorskie', 'Bartoszyce', 'Sierakowice', 'Gdańsk', 'Słupsk', 'Stolp|Pomerania', 'Gdynia|Pomorskie', 'Gniewino']","[3, 7, 1, 2, 1, 2, 1, 4, 2, 1, 2, 1, 1, 1, 29, 1, 2, 4, 1, 3, 1, 7, 1, 2, 1, 2, 1, 2, 4, 4, 1, 1, 3, 1, 1, 2, 1, 4, 1, 3, 6, 4, 1, 2, 1, 7, 1, 1, 2, 2, 1, 2, 14, 1, 6, 7, 6, 2, 1, 6, 1, 1, 1, 1, 1, 1, 22, 1, 1, 2, 1, 2, 3, 111, 3, 1, 1, 5, 3, 1, 1, 2, 2, 3, 1, 2, 2, 11, 1, 3, 4, 1, 1, 3, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 2, 1, 1, 2, 2, 2, 3, 5, 5, 1, 3, 1]","['(49.4206138|20.9594176)', '(49.489209200000005|20.026341104646875)', '(49.61030395|20.714936589668028)', '(49.706496099999995|19.21914906371902)', '(49.7149918|20.423074222125905)', '(49.7557676|18.65623134091032)', '(49.7965043|19.0961888)', '(49.822118|19.0448936)', '(49.8834484|19.4925345)', '(49.9778328|18.9425124)', '(50.0336707|19.260079835793633)', '(50.04611635|21.412761546800066)', '(50.054495200000005|22.50137899352015)', '(50.061627|19.937315)', '(50.0619474|19.9368564)', '(50.0955793|18.5419933)', '(50.114397|18.9965933)', '(50.1411926|19.4028502)', '(50.19600335|18.853851637416344)', '(50.2598987|19.0215852)', '(50.265395749999996|22.42176054362956)', '(50.2780834|19.1342944)', '(50.280247349999996|21.46313425491699)', '(50.288556299999996|18.97044253093511)', '(50.294113|18.6657306)', '(50.3086154|18.7863749)', '(50.3359753|19.117425848419487)', '(50.3657432|18.87153251609449)', '(50.37034025|16.378490698224958)', '(50.3980823|18.6277201)', '(50.425112|18.969188)', '(50.43371175|16.642246491692106)', '(50.4445194|18.8554757)', '(50.4738029|17.3324733)', '(50.5109033|18.3004547)', '(50.5653105|22.0644075)', '(50.568664549999994|18.936145012967096)', '(50.57349525|16.511378078259288)', '(50.669016|18.6825574)', '(50.678792900000005|17.929884436033525)', '(50.6789196|18.2125227)', '(50.7659054|16.2825424)', '(50.7991499|20.1756672)', '(50.8120466|19.113213)', '(50.8424835|16.4870549)', '(50.85403585|20.609914352101452)', '(50.8588648|17.464124493778538)', '(50.9272517|19.1641478)', '(50.95020905|21.411509244172763)', '(51.0281455|15.4145051)', '(51.03845695|21.082038854471925)', '(51.071061|19.44984640627979)', '(51.1089776|17.0326689)', '(51.1373081|18.1998348)', '(51.204768900000005|16.174675034638256)', '(51.250559|22.5701022)', '(51.262169150000005|15.55501970717719)', '(51.2672298|16.7075883)', '(51.3096424|17.062596)', '(51.4022557|21.1541546)', '(51.412853999999996|19.6886837487098)', '(51.5194865|20.033759067449843)', '(51.594911550000006|18.950108677704648)', '(51.6385162|15.1422487)', '(51.686153|17.498218)', '(51.74736505|18.079590087700034)', '(51.7687323|19.4569911)', '(51.8033431|15.706238052443426)', '(51.8778633|17.0167637)', '(51.9383777|15.5050408)', '(52.0297954|23.14974393325471)', '(52.1237468|20.66934425925369)', '(52.2301933|18.2521112)', '(52.2319581|21.0067249)', '(52.4006632|16.91973259178088)', '(52.434175749999994|20.706110418137545)', '(52.5089624|16.2566411)', '(52.5464521|19.7008606)', '(52.6120328|16.5831241)', '(52.731735549999996|23.571247984159466)', '(52.759905|23.297378)', '(52.764915|23.188210662123517)', '(52.781464299999996|18.246308553210774)', '(52.81220655|17.201913487483125)', '(52.8398486|15.8318163)', '(53.0102721|18.6048094)', '(53.1219648|18.0002529)', '(53.127505049999996|23.147050870161664)', '(53.1386896|17.5998891)', '(53.18243065|22.052183817808846)', '(53.30897745|15.031645934671849)', '(53.40287|16.3618)', '(53.4072518|18.4455253)', '(53.4301818|14.5509623)', '(53.5310697|16.0120665)', '(53.560673|16.2319428)', '(53.56373295|20.996863617882177)', '(53.59610885|19.576102569072468)', '(53.6651462|17.3588324)', '(53.70234205|16.70713424642978)', '(53.7767239|20.477780523409734)', '(53.7981816|21.5772462)', '(53.868574100000004|21.305158654982982)', '(53.9097477|14.2510703)', '(53.9148529|15.1987062)', '(53.9653947|14.7728556)', '(53.96544705|18.52665731509521)', '(54.0361354|21.7661326027255)', '(54.102712499999996|22.931878217494493)', '(54.1558708|19.4044583)', '(54.1694592|17.4890263)', '(54.2534341|20.80839323665569)', '(54.345194|17.8935576)', '(54.42880315|18.798325902846855)', '(54.460570849999996|17.027730037017736)', '(54.4649|16.9223)', '(54.5164982|18.5402738)', '(54.71543|18.00638)']"
PRI,"['San Germán|San Germán', 'Cabo Rojo', 'Cayey|Cayey', 'Humacao', 'Lares', 'Fajardo|Fajardo', 'Santurce|San Juan', 'Santurce', 'Old San Juan|San Juan', 'Hatillo|Hatillo']","[2, 1, 6, 4, 1, 2, 1, 4, 1, 1]","['(18.083999|-67.04198)', '(18.086012|-67.145475)', '(18.111487|-66.165359)', '(18.149659|-65.827931)', '(18.292318|-66.874839)', '(18.3358|-65.6319)', '(18.448619|-66.064878)', '(18.45|-66.066667)', '(18.465537|-66.107614)', '(18.484612|-66.831947)']"
PRK,"['Gyeonggi|Empire of Japan [now Kaepung District', 'Hamgyong-bukto|Hamgyong-bukto']","[2, 1]","['(37.2891533|127.053473)', '(40.339852|127.510093)']"
PRT,"['Funchal|Madeira', 'Faro', 'Setúbal', 'Faial|Açores', 'Barreiro', 'Almada|Setúbal', 'Lisbon', 'Monte Estoril', 'Cascais', 'São Sebastião da Pedreira|Lisbon', 'Amadora', 'Sacavém', 'Sintra', 'Alhandra|Vila Franca de Xira', 'Cartaxo', 'Santarém', 'Tomar', 'Batalha', 'Castelo Branco', 'Coimbra', 'Aveiro', 'Oliveira de Azeméis', 'Carregosa|Oliveira de Azeméis', 'Porto', 'Guimarães', 'Monção']","[1, 1, 2, 1, 1, 1, 59, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 1, 1, 2, 1, 1]","['(32.6496497|-16.9086783)', '(37.0162727|-7.9351771)', '(38.5241783|-8.8932341)', '(38.5795831|-28.70962954787518)', '(38.6340657|-9.047855912091004)', '(38.6831302|-9.1576301)', '(38.7077507|-9.1365919)', '(38.71018235|-9.403421470148723)', '(38.72240025|-9.396909171649877)', '(38.7301501|-9.1521379)', '(38.7595162|-9.223677009460125)', '(38.7948664|-9.1047215)', '(38.83554455|-9.352237113314317)', '(38.9287073|-9.0077932)', '(39.1619462|-8.7863222)', '(39.2363637|-8.6867081)', '(39.6036596|-8.4150492)', '(39.6579329|-8.8244098)', '(39.8266322|-7.4919318)', '(40.2111931|-8.4294632)', '(40.640496|-8.6537841)', '(40.8390118|-8.4777807)', '(40.8832957|-8.4150805)', '(41.1494512|-8.6107884)', '(41.4417677|-8.2955712)', '(42.0787023|-8.4813901)']"
PRY,['Asuncion'],[3],['(-25.2800459|-57.6343814)']
PSE,"['Bethlehem', 'Galilee|Galilee']","[3, 4]","['(31.7043556|35.2061876)', '(32.78014|35.20263)']"
PYF,['Papeete'],[2],['(-17.551625|-149.558476)']
REU,['Saint-Denis|Réunion'],[2],['(-20.882294|55.450739)']
ROU,"['Bailesti', 'Constanta', 'Călărași', 'Bucharest', 'Bucharest', 'Lehliu', 'Ploiesti', 'Boldești-Scăeni|Prahova', 'Râmnicu Vâlcea', 'Brăila', 'Galati', 'Brasov|Transylvania', 'Bakowa', 'Timisoara|Timis', 'Hunedoara', 'Sibiu', 'Târgu Ocna', 'Târgu Mureș', 'Bistrița', 'Iași', 'Zalău', 'Baia-Mare', 'Maramureș']","[2, 5, 1, 3, 24, 1, 3, 1, 1, 1, 6, 1, 1, 3, 1, 1, 1, 2, 1, 9, 2, 1, 2]","['(44.0230929|23.3450079)', '(44.1767161|28.6507598)', '(44.1961646|27.3313233)', '(44.426767|26.102538)', '(44.4361414|26.1027202)', '(44.4754202|26.8144362)', '(44.9417468|26.0236504)', '(45.0317528|26.0309441)', '(45.1031731|24.3647209)', '(45.2716092|27.9742932)', '(45.4338215|28.0549395)', '(45.6523093|25.6102746)', '(45.6660194|21.5520014)', '(45.7538355|21.2257474)', '(45.7575221|22.9073792)', '(45.7973912|24.1519202)', '(46.2801933|26.6095512)', '(46.5446253|24.561196)', '(47.13897525|24.49755169876672)', '(47.1615416|27.5837224)', '(47.1819416|23.0562143)', '(47.6565584|23.5719843)', '(47.8024829|23.7983311)']"
